Student_ID,Age,Gender,Current_Semester,CGPA,Attendance_Percentage,Failed_Courses,Credits_Completed,Fee_Delay_Indicator,Family_Background_Score,Learning_Disability_Flag,LMS_Login_Count,Assignment_Submission_Rate,Dropout_Status
STU2024032,19,Male,8,8.27,100.0,0,159,0,2,0,61,79.2,0
STU2024033,22,Male,6,7.76,63.4,0,102,0,6,0,45,67.6,0
STU2024034,22,Male,5,8.53,50.8,0,83,0,3,0,32,81.5,0
STU2024035,20,Female,5,8.52,100.0,0,99,0,6,0,86,73.5,0
STU2024036,22,Female,5,9.07,65.6,0,81,1,5,1,41,44.2,0
STU2024037,20,Female,3,8.8,70.0,0,54,0,7,0,43,94.2,0
STU2024038,20,Male,6,8.07,99.8,0,118,0,7,0,23,71.7,0
STU2024039,18,Female,4,6.44,71.4,0,67,0,6,0,87,86.4,0
STU2024040,24,Male,4,4.51,55.5,2,65,0,3,0,78,49.5,1
STU2024041,23,Female,4,8.86,78.0,0,68,0,7,0,37,79.8,0
STU2024042,21,Male,8,9.88,56.4,1,151,0,4,0,46,84.5,0
STU2024043,24,Female,5,7.81,66.2,0,82,0,5,0,66,85.6,0
STU2024044,23,Male,2,8.72,84.4,0,28,1,1,0,33,93.2,0
STU2024045,23,Female,2,5.67,83.2,0,32,0,4,0,45,54.4,0
STU2024046,18,Male,6,9.46,75.3,0,113,1,10,0,63,75.0,0
STU2024047,22,Female,7,6.58,76.5,0,130,0,5,0,61,33.8,0
STU2024048,24,Male,5,9.24,86.9,0,92,0,1,0,62,87.0,0
STU2024049,23,Female,8,7.49,89.6,0,154,0,9,0,47,70.7,0
STU2024050,20,Male,5,6.27,78.7,0,96,0,10,0,54,59.4,0
STU2024051,21,Female,4,8.81,53.3,4,66,0,4,0,21,24.5,0
STU2024052,19,Female,7,7.05,74.9,0,140,0,7,0,36,68.3,0
STU2024053,18,Male,7,6.26,82.4,0,127,1,1,0,51,73.3,0
STU2024054,19,Female,3,7.6,89.8,0,54,0,9,0,59,52.5,0
STU2024055,25,Female,8,8.94,93.0,0,145,0,8,0,86,57.5,0
STU2024056,22,Female,4,7.26,54.7,0,68,0,5,0,34,95.9,0
STU2024057,19,Male,3,8.04,61.5,0,47,0,3,0,59,30.7,1
STU2024058,24,Female,8,9.27,68.0,0,153,1,7,0,15,80.1,0
STU2024059,18,Female,8,7.92,51.1,0,140,0,5,0,38,71.5,0
STU2024060,24,Male,8,9.77,79.7,0,147,0,8,1,43,52.2,0
STU2024061,24,Male,8,8.27,90.9,0,144,0,9,1,80,70.4,0
STU2024062,18,Male,7,7.67,98.3,0,124,0,3,0,53,84.8,0
STU2024063,21,Female,6,8.96,97.3,0,110,0,7,0,67,75.0,0
STU2024064,24,Female,2,4.9,96.7,2,35,0,6,0,80,59.5,1
STU2024065,18,Male,4,8.0,49.4,2,66,0,10,0,48,94.8,1
STU2024066,19,Male,8,5.85,82.3,0,148,0,3,0,64,85.5,0
STU2024067,19,Male,5,8.26,62.8,0,83,0,5,0,38,60.6,0
STU2024068,24,Female,4,7.35,75.6,0,62,0,4,0,60,83.6,0
STU2024069,19,Male,6,7.17,64.0,0,117,0,6,0,61,87.1,0
STU2024070,18,Female,8,6.56,42.1,1,143,0,6,0,67,22.8,0
STU2024071,20,Female,3,9.18,97.9,0,56,0,5,0,0,80.6,0
STU2024072,25,Female,7,5.91,65.2,0,138,0,4,0,34,44.5,1
STU2024073,25,Male,8,8.82,61.9,0,158,0,7,0,49,78.0,0
STU2024074,23,Male,8,6.92,65.0,0,146,0,5,0,77,84.5,0
STU2024075,22,Male,4,8.34,68.1,0,62,0,7,0,37,76.6,0
STU2024076,25,Female,8,3.75,85.3,1,140,0,7,0,57,81.4,1
STU2024077,23,Female,6,8.63,82.9,0,113,0,9,0,54,69.1,0
STU2024078,22,Female,5,6.65,60.0,0,87,0,6,0,55,30.7,0
STU2024079,20,Male,4,6.14,57.9,1,75,0,10,0,55,78.5,0
STU2024080,22,Male,4,6.6,86.4,0,69,0,3,0,72,98.8,0
STU2024081,20,Female,1,6.3,77.5,0,1,0,3,0,51,55.5,0
STU2024082,19,Male,5,6.61,83.8,0,95,0,6,0,43,66.0,1
STU2024083,25,Male,2,10.0,70.9,0,32,0,10,0,68,51.1,1
STU2024084,20,Female,2,9.08,62.3,0,27,1,10,0,18,61.2,0
STU2024085,24,Female,8,4.18,61.7,2,149,0,7,0,55,82.1,0
STU2024086,19,Male,4,7.77,78.7,0,68,0,3,0,40,40.6,0
STU2024087,20,Male,7,8.1,90.6,0,134,0,8,0,39,85.5,0
STU2024088,22,Female,2,8.64,61.2,0,27,0,10,0,67,96.2,0
STU2024089,24,Male,4,7.92,48.3,2,80,1,3,0,79,39.0,1
STU2024090,22,Female,8,10.0,83.9,0,143,0,5,0,54,51.0,0
STU2024091,25,Female,2,9.52,77.8,0,39,1,6,0,52,60.7,1
STU2024092,21,Male,5,10.0,82.9,0,98,0,8,0,38,86.7,0
STU2024093,22,Male,7,5.02,71.6,0,140,0,2,0,62,90.7,0
STU2024094,23,Male,3,5.81,72.8,0,50,0,8,0,49,63.0,0
STU2024095,18,Female,2,8.54,59.7,1,30,0,2,0,60,68.2,0
STU2024096,18,Female,7,6.48,77.2,0,121,1,10,0,34,85.9,0
STU2024097,18,Male,5,6.68,100.0,0,97,1,8,0,27,99.4,0
STU2024098,18,Male,3,5.73,78.1,0,49,0,9,0,55,90.6,0
STU2024099,19,Female,2,6.33,69.6,0,40,0,8,0,48,87.1,0
STU2024100,22,Female,8,6.44,64.1,0,155,0,9,0,51,89.1,0
STU2024101,20,Male,5,8.57,87.2,0,93,0,9,0,31,72.0,1
STU2024102,22,Female,3,6.51,60.9,0,54,0,6,0,16,89.9,0
STU2024103,24,Female,6,9.07,94.7,0,106,0,4,0,14,93.8,0
STU2024104,24,Male,6,4.87,66.8,2,115,0,7,0,49,85.5,0
STU2024105,20,Female,1,9.52,79.6,0,4,0,10,0,15,45.1,1
STU2024106,25,Male,8,7.53,80.2,0,140,0,7,0,39,90.8,0
STU2024107,19,Female,5,8.33,90.4,0,90,0,7,0,59,61.5,0
STU2024108,24,Female,8,4.74,55.8,1,157,0,4,0,60,88.7,0
STU2024109,21,Male,7,8.37,61.2,0,123,0,2,0,22,45.5,0
STU2024110,18,Male,6,8.24,77.8,0,101,0,6,0,32,71.1,0
STU2024111,24,Male,3,5.22,100.0,0,45,1,10,0,48,89.3,0
STU2024112,20,Male,8,7.45,100.0,0,160,0,5,0,37,80.3,0
STU2024113,25,Female,3,8.3,84.3,0,42,0,6,0,18,70.5,0
STU2024114,24,Female,8,7.39,84.3,0,149,1,8,0,53,44.1,0
STU2024115,23,Female,5,8.43,87.5,0,80,0,7,0,59,66.4,0
STU2024116,18,Female,5,7.81,87.3,0,87,0,6,0,52,80.2,0
STU2024117,22,Male,2,9.19,73.8,0,40,0,5,0,40,79.3,1
STU2024118,23,Male,2,6.81,59.4,1,29,0,7,0,75,96.4,1
STU2024119,23,Female,3,8.8,79.2,0,48,0,8,0,23,77.3,0
STU2024120,23,Male,8,9.1,93.3,0,142,0,7,0,36,92.4,0
STU2024121,23,Male,7,4.86,68.7,0,120,0,2,0,44,81.4,0
STU2024122,22,Female,6,4.6,56.9,1,103,0,8,1,46,65.9,0
STU2024123,23,Male,2,8.51,92.5,0,40,0,5,0,82,53.5,0
STU2024124,18,Male,5,8.33,65.7,0,95,0,9,0,40,50.3,0
STU2024125,24,Male,7,6.64,80.2,0,140,1,10,0,42,78.3,0
STU2024126,18,Female,4,6.24,77.5,0,74,0,4,0,42,74.5,1
STU2024127,23,Female,1,8.0,62.2,0,12,0,2,0,52,78.0,0
STU2024128,19,Male,1,6.24,74.9,0,1,0,4,0,63,62.4,0
STU2024129,21,Male,4,9.28,93.1,0,78,0,4,0,56,93.2,0
STU2024130,18,Female,3,7.86,79.6,0,44,0,3,0,68,65.5,0
STU2024131,20,Male,6,8.26,90.1,0,107,0,1,0,80,59.0,1
STU2024132,24,Male,2,6.94,62.5,0,35,0,6,0,36,77.4,0
STU2024133,21,Male,5,9.42,87.3,0,94,0,1,0,20,72.6,0
STU2024134,24,Female,2,9.74,78.2,0,35,0,8,0,55,71.4,1
STU2024135,20,Male,3,7.92,77.6,0,48,0,10,0,58,78.1,0
STU2024136,22,Female,7,4.79,89.5,1,123,0,2,0,57,44.0,0
STU2024137,21,Female,8,7.4,49.5,2,147,0,8,0,41,83.8,0
STU2024138,23,Female,6,7.87,66.5,0,108,0,3,0,24,83.0,0
STU2024139,19,Male,2,5.78,100.0,0,33,1,3,0,28,69.3,0
STU2024140,23,Male,7,7.14,80.3,0,131,0,7,0,24,78.0,0
STU2024141,22,Female,6,7.46,80.1,0,103,0,4,0,59,72.2,0
STU2024142,19,Female,6,7.79,85.6,0,103,0,10,0,48,79.5,0
STU2024143,18,Female,1,6.36,74.4,0,5,0,5,0,21,84.1,0
STU2024144,20,Male,7,6.83,46.7,0,122,0,2,0,46,90.6,1
STU2024145,24,Female,6,8.64,80.6,0,105,0,6,0,59,81.7,0
STU2024146,19,Male,3,10.0,74.7,0,45,0,1,0,60,83.2,0
STU2024147,24,Female,8,4.44,71.0,0,153,0,9,0,48,68.0,0
STU2024148,22,Female,5,6.64,83.6,0,81,0,10,0,77,56.9,0
STU2024149,21,Male,5,8.04,88.4,0,89,0,1,0,62,87.3,0
STU2024150,20,Female,4,9.48,78.0,0,76,0,6,0,91,73.0,0
STU2024151,18,Female,1,7.81,65.2,0,14,0,6,0,40,63.8,0
STU2024152,24,Female,2,8.28,66.4,0,32,1,3,0,49,79.5,0
STU2024153,23,Male,7,5.81,83.5,0,123,0,10,0,39,79.1,1
STU2024154,22,Female,4,5.0,89.0,0,70,0,2,0,67,69.1,1
STU2024155,21,Female,6,5.16,100.0,0,120,0,4,0,47,86.9,0
STU2024156,20,Male,2,8.83,87.0,0,25,0,8,0,53,92.0,0
STU2024157,25,Female,6,8.1,64.7,0,104,0,8,0,56,62.2,0
STU2024158,22,Male,6,6.94,41.5,1,116,1,8,1,54,78.0,1
STU2024159,22,Male,2,9.16,64.4,0,39,0,7,0,18,69.9,0
STU2024160,18,Female,4,5.58,71.1,0,70,0,9,0,74,93.4,1
STU2024161,19,Female,2,8.77,93.3,0,36,0,1,0,74,57.0,0
STU2024162,25,Male,6,7.86,70.1,0,111,0,7,0,38,83.7,0
STU2024163,18,Female,2,7.3,59.5,1,30,1,5,0,38,59.8,0
STU2024164,20,Female,2,8.02,43.5,1,38,0,6,0,108,52.5,0
STU2024165,24,Male,2,7.91,65.2,0,29,0,6,0,71,58.5,0
STU2024166,19,Female,6,8.24,74.5,0,100,0,3,0,90,77.1,0
STU2024167,25,Male,4,7.8,81.7,0,64,1,2,0,28,56.7,0
STU2024168,18,Female,3,5.78,90.1,0,59,0,3,0,44,55.9,0
STU2024169,20,Female,1,4.97,61.0,3,13,0,4,0,75,73.9,0
STU2024170,25,Male,4,7.52,55.8,1,69,0,8,0,17,61.1,1
STU2024171,25,Female,5,7.75,64.5,0,92,0,7,0,71,72.9,0
STU2024172,20,Female,1,7.01,68.2,0,20,0,6,0,49,87.6,0
STU2024173,19,Female,2,10.0,85.9,0,25,0,9,0,63,67.9,0
STU2024174,21,Female,6,7.92,72.2,0,100,0,7,0,61,86.5,0
STU2024175,19,Female,4,8.96,65.7,0,60,0,2,0,11,89.0,0
STU2024176,20,Male,1,8.91,73.0,0,9,0,8,0,46,53.6,0
STU2024177,25,Female,1,7.74,60.9,0,2,0,3,0,77,71.1,0
STU2024178,24,Male,5,6.86,93.1,0,87,0,1,0,57,64.6,0
STU2024179,25,Male,2,9.22,70.5,0,35,0,1,0,44,87.8,0
STU2024180,20,Female,7,8.84,100.0,0,120,0,4,0,33,86.0,0
STU2024181,19,Female,2,8.29,64.0,0,36,0,9,0,42,76.8,0
STU2024182,25,Male,7,7.28,51.9,1,131,0,1,0,55,76.4,1
STU2024183,21,Male,6,5.35,46.3,3,104,1,3,0,56,74.7,0
STU2024184,25,Male,3,7.19,58.5,0,42,0,8,1,35,84.7,1
STU2024185,21,Male,6,7.85,51.7,2,109,0,9,0,26,33.6,1
STU2024186,21,Female,6,8.13,76.4,0,101,0,6,0,36,52.0,0
STU2024187,24,Female,8,9.88,70.4,0,152,0,3,0,76,66.0,0
STU2024188,22,Male,7,9.32,77.1,0,122,0,3,0,96,83.8,0
STU2024189,19,Female,5,8.04,85.6,0,89,0,7,0,69,87.0,0
STU2024190,25,Male,6,4.75,82.6,1,119,0,5,0,57,86.0,0
STU2024191,18,Male,7,7.5,76.2,0,131,0,3,0,48,84.0,0
STU2024192,25,Male,3,6.5,89.9,0,42,0,6,0,46,83.1,0
STU2024193,18,Male,8,9.47,91.3,0,151,0,2,0,59,60.9,0
STU2024194,24,Female,5,7.52,55.3,1,87,0,1,0,37,63.9,0
STU2024195,24,Male,5,7.58,76.0,0,88,0,4,0,10,66.2,0
STU2024196,25,Male,2,9.8,93.3,0,24,0,8,0,45,89.3,0
STU2024197,19,Female,6,6.88,65.8,0,102,0,5,0,43,67.2,0
STU2024198,20,Female,4,8.16,92.9,0,63,0,3,0,68,76.7,0
STU2024199,23,Female,8,7.19,54.5,0,157,0,2,0,45,85.8,0
STU2024200,25,Female,7,7.46,72.4,0,138,1,2,0,42,81.4,0
STU2024201,23,Male,3,8.09,60.1,0,44,0,1,0,49,20.9,0
STU2024202,22,Male,3,5.71,74.4,0,50,0,4,0,73,87.1,0
STU2024203,22,Male,5,5.08,79.3,0,86,0,9,0,54,92.7,0
STU2024204,19,Male,3,7.37,88.8,0,45,0,10,0,78,66.3,0
STU2024205,18,Male,2,9.84,57.1,2,21,0,10,0,51,67.2,1
STU2024206,24,Male,8,5.48,60.4,0,160,0,5,0,74,74.7,0
STU2024207,24,Female,8,6.85,92.8,0,142,0,3,0,64,89.2,0
STU2024208,21,Female,3,7.02,71.2,0,50,0,6,0,76,85.4,0
STU2024209,24,Male,6,7.56,65.3,0,116,0,6,0,68,70.2,0
STU2024210,25,Male,3,8.31,91.1,0,43,1,10,0,42,75.3,0
STU2024211,20,Female,6,5.58,100.0,0,106,0,8,0,27,75.9,0
STU2024212,22,Female,1,8.79,66.3,0,2,0,9,0,46,58.4,0
STU2024213,23,Male,1,7.29,84.9,0,9,0,8,0,73,91.2,1
STU2024214,19,Female,3,8.1,65.2,0,48,0,7,0,39,71.7,0
STU2024215,21,Female,5,8.59,78.6,0,82,0,8,0,102,95.7,0
STU2024216,19,Male,2,9.43,85.1,0,32,0,6,0,47,45.5,0
STU2024217,20,Male,7,6.11,71.9,0,136,0,3,0,32,58.0,0
STU2024218,25,Male,3,5.71,81.7,0,50,0,6,0,73,89.5,0
STU2024219,22,Female,8,5.84,85.8,0,158,0,1,0,42,88.7,0
STU2024220,24,Female,1,5.37,48.6,1,19,0,10,0,19,80.6,0
STU2024221,25,Male,7,6.25,66.5,0,124,0,4,1,53,60.3,0
STU2024222,19,Male,1,9.04,83.9,0,14,0,3,0,65,50.1,0
STU2024223,25,Male,3,6.53,76.3,0,56,0,6,0,79,64.6,0
STU2024224,24,Female,3,7.38,73.2,0,54,0,6,0,80,76.2,0
STU2024225,22,Female,4,8.37,93.3,0,67,0,5,0,61,85.5,0
STU2024226,22,Female,4,10.0,98.1,0,75,0,6,0,40,71.1,0
STU2024227,22,Female,2,8.66,79.8,0,38,0,7,0,47,91.7,0
STU2024228,23,Male,5,8.27,67.0,0,81,0,2,0,26,29.3,0
STU2024229,22,Female,4,6.93,99.9,0,66,0,5,0,40,59.7,0
STU2024230,20,Male,4,8.65,93.4,0,67,0,4,0,47,66.2,0
STU2024231,25,Male,3,7.17,88.7,0,40,0,3,0,33,86.6,0
STU2024232,25,Female,4,3.86,88.3,0,69,0,1,0,54,93.2,1
STU2024233,21,Male,3,6.71,58.3,1,53,0,3,0,61,69.2,1
STU2024234,24,Female,3,6.86,66.9,0,49,0,1,0,62,84.9,0
STU2024235,23,Female,8,7.59,70.6,0,160,0,8,0,53,51.2,0
STU2024236,25,Female,4,5.6,74.1,0,63,0,8,0,41,80.1,0
STU2024237,18,Female,5,10.0,96.0,0,98,0,4,0,51,68.1,0
STU2024238,24,Female,6,6.44,67.3,0,102,0,2,0,73,60.1,1
STU2024239,23,Male,1,7.12,69.6,0,8,0,8,0,60,76.8,0
STU2024240,22,Male,5,7.41,64.0,0,100,0,4,0,51,76.7,0
STU2024241,22,Male,7,6.37,94.6,0,136,0,5,0,38,47.1,0
STU2024242,22,Female,4,9.28,83.1,0,67,0,8,0,65,64.2,0
STU2024243,23,Female,8,6.23,87.5,0,157,0,4,0,41,63.4,0
STU2024244,19,Female,6,6.68,67.3,0,102,0,2,0,55,52.0,0
STU2024245,21,Male,3,5.9,77.9,0,50,0,8,0,54,77.9,0
STU2024246,25,Male,8,9.22,96.5,0,141,0,9,0,26,52.7,0
STU2024247,25,Female,1,10.0,62.9,0,12,0,1,0,61,71.6,0
STU2024248,18,Female,6,7.04,45.7,2,102,0,1,0,75,65.1,1
STU2024249,25,Male,5,6.24,71.4,0,93,0,7,0,42,84.0,0
STU2024250,25,Female,7,9.33,97.8,0,122,0,9,0,69,68.9,0
STU2024251,19,Male,7,7.7,57.3,1,136,0,1,0,73,79.7,0
STU2024252,25,Female,7,8.81,54.8,1,127,0,6,0,29,49.8,1
STU2024253,19,Male,7,5.52,80.3,0,139,0,1,0,59,63.5,1
STU2024254,18,Female,1,8.51,100.0,0,7,0,7,0,47,60.7,0
STU2024255,18,Male,5,9.15,67.0,0,87,0,10,0,48,73.8,0
STU2024256,23,Male,5,8.27,71.1,0,84,0,9,0,64,66.4,0
STU2024257,18,Male,7,6.71,80.5,0,137,0,6,0,86,77.0,0
STU2024258,23,Female,7,8.7,50.8,0,124,0,3,0,71,48.6,0
STU2024259,21,Female,3,10.0,86.0,0,54,0,9,0,37,81.1,0
STU2024260,20,Female,4,6.4,75.5,0,68,0,2,0,56,70.1,0
STU2024261,19,Male,1,8.25,84.8,0,8,0,10,0,103,65.3,0
STU2024262,21,Male,8,8.83,78.5,0,146,0,6,0,92,35.6,0
STU2024263,21,Male,2,8.61,60.5,0,35,0,10,0,50,48.5,0
STU2024264,21,Female,5,8.42,65.7,0,92,0,6,0,53,87.2,0
STU2024265,25,Female,2,6.86,64.6,0,35,0,6,0,21,85.6,0
STU2024266,24,Male,4,6.5,70.4,0,64,1,5,0,34,57.0,0
STU2024267,24,Male,8,7.26,85.1,0,157,0,6,0,54,64.1,0
STU2024268,25,Female,3,4.26,100.0,1,51,1,3,0,48,89.7,0
STU2024269,18,Male,2,7.9,82.6,0,21,0,7,0,18,78.7,0
STU2024270,19,Male,1,6.58,71.0,0,6,0,6,0,32,60.7,0
STU2024271,25,Female,1,7.3,76.2,0,0,0,7,1,45,47.2,0
STU2024272,22,Female,1,9.24,73.5,0,16,0,7,0,50,76.2,0
STU2024273,19,Male,3,6.58,80.4,0,47,1,6,0,27,94.3,0
STU2024274,23,Female,8,6.53,66.8,0,158,0,4,0,51,88.4,0
STU2024275,19,Male,2,8.95,81.4,0,32,0,9,0,37,93.0,0
STU2024276,20,Male,8,5.86,95.9,0,153,0,6,0,44,72.4,0
STU2024277,19,Male,4,8.69,48.8,1,66,0,10,0,70,84.7,1
STU2024278,19,Female,1,5.68,70.4,0,5,0,6,1,65,65.9,0
STU2024279,20,Female,2,4.97,62.9,2,29,0,10,0,87,76.8,1
STU2024280,23,Female,3,7.48,73.5,0,42,0,6,0,58,68.3,0
STU2024281,19,Female,7,4.79,69.7,1,130,1,8,0,48,58.4,1
STU2024282,24,Female,3,8.05,51.9,0,58,0,2,0,20,57.7,1
STU2024283,21,Male,2,8.46,82.5,0,28,0,7,0,13,87.5,1
STU2024284,18,Female,8,6.2,45.3,1,151,0,2,0,64,93.6,1
STU2024285,25,Female,2,9.15,100.0,0,20,0,10,0,25,78.2,0
STU2024286,24,Male,5,6.65,78.8,0,93,0,2,0,59,80.5,0
STU2024287,21,Male,7,7.9,69.9,0,125,1,5,0,62,72.1,1
STU2024288,24,Female,7,5.74,91.9,0,129,0,2,0,48,31.5,0
STU2024289,25,Male,8,6.61,95.6,0,143,0,7,0,7,80.3,0
STU2024290,23,Female,6,6.99,83.3,0,113,0,10,0,51,74.2,0
STU2024291,21,Female,6,8.39,30.9,2,105,0,6,0,89,83.0,0
STU2024292,25,Male,6,8.11,92.2,0,112,0,7,0,39,76.3,0
STU2024293,21,Male,1,6.7,87.8,0,14,0,4,0,60,68.6,0
STU2024294,19,Female,8,8.63,83.8,0,144,0,4,0,58,62.1,0
STU2024295,24,Female,2,5.04,50.5,0,34,0,8,0,34,70.3,0
STU2024296,24,Male,6,8.41,75.0,0,117,0,2,0,33,66.1,0
STU2024297,23,Male,1,5.09,63.6,0,18,0,7,0,34,66.4,0
STU2024298,24,Male,1,8.55,71.0,0,3,0,9,0,9,92.2,0
STU2024299,21,Female,6,9.54,55.4,0,112,0,10,0,50,57.8,1
STU2024300,18,Female,2,9.36,58.4,3,29,0,2,0,65,59.6,0
STU2024301,20,Female,5,4.75,74.6,0,90,0,4,0,39,83.6,1
STU2024302,19,Female,8,7.52,70.1,0,150,0,2,1,53,89.6,0
STU2024303,19,Male,4,5.48,62.7,0,76,0,6,0,40,82.3,0
STU2024304,21,Female,3,8.92,80.9,0,45,0,7,0,47,83.7,0
STU2024305,21,Female,7,9.63,88.9,0,132,0,4,0,69,92.5,0
STU2024306,19,Male,3,9.09,84.2,0,51,0,8,0,74,79.2,0
STU2024307,25,Female,7,5.33,40.6,0,139,0,2,0,21,66.0,0
STU2024308,20,Female,2,9.68,69.1,0,24,0,4,0,59,39.0,0
STU2024309,20,Female,7,8.96,99.0,0,139,1,7,0,35,83.1,0
STU2024310,20,Male,8,9.19,98.2,0,149,1,8,0,34,77.5,0
STU2024311,18,Female,3,4.88,76.8,1,46,0,9,0,19,65.4,1
STU2024312,25,Female,8,6.01,86.7,0,155,0,4,0,1,72.8,0
STU2024313,22,Male,8,10.0,78.2,0,158,0,8,0,71,58.7,0
STU2024314,19,Female,6,7.53,71.4,0,117,0,1,0,53,89.0,0
STU2024315,21,Female,2,8.98,54.7,2,40,0,5,0,53,97.8,1
STU2024316,22,Female,2,6.1,73.5,0,34,0,2,0,17,46.9,1
STU2024317,23,Female,3,7.53,78.5,0,59,0,4,0,24,61.7,0
STU2024318,22,Male,6,6.01,58.3,2,109,0,5,0,54,46.0,0
STU2024319,19,Male,7,7.11,47.5,2,121,0,3,0,33,86.3,1
STU2024320,20,Female,4,8.38,100.0,0,72,0,10,0,50,77.4,0
STU2024321,24,Female,2,4.18,98.0,0,40,0,2,0,45,67.9,0
STU2024322,23,Female,8,8.38,75.7,0,150,0,2,0,56,92.0,0
STU2024323,23,Male,7,7.74,75.6,0,126,0,4,0,60,60.7,0
STU2024324,22,Female,3,7.53,73.7,0,58,0,6,0,25,49.1,0
STU2024325,18,Male,8,7.85,57.0,2,140,0,8,0,24,72.2,0
STU2024326,24,Male,3,8.57,68.4,0,60,0,5,0,48,88.8,0
STU2024327,19,Female,3,8.62,72.3,0,41,0,5,0,37,80.2,0
STU2024328,24,Male,2,7.73,47.0,1,20,0,2,0,70,33.6,1
STU2024329,25,Male,1,7.52,60.7,0,10,0,7,0,41,94.5,0
STU2024330,21,Female,2,10.0,99.3,0,23,1,5,0,52,86.3,0
STU2024331,20,Male,2,7.22,88.8,0,36,0,10,0,47,79.5,0
STU2024332,21,Male,7,5.51,88.3,0,139,0,4,0,41,34.0,0
STU2024333,19,Female,6,9.35,58.9,2,113,0,3,0,52,87.0,0
STU2024334,21,Female,1,7.38,85.4,0,9,0,10,0,0,83.1,0
STU2024335,22,Male,4,9.33,87.3,0,75,0,4,0,44,67.0,0
STU2024336,18,Female,6,6.03,68.1,0,104,0,10,0,27,96.8,0
STU2024337,20,Female,2,10.0,80.7,0,20,0,1,0,59,57.2,1
STU2024338,18,Female,5,5.25,89.6,0,100,0,7,0,66,86.9,0
STU2024339,20,Female,2,9.12,89.9,0,29,0,3,0,66,62.7,0
STU2024340,19,Female,7,8.13,67.0,0,127,0,7,0,60,81.7,0
STU2024341,18,Female,3,9.09,89.1,0,43,0,1,0,62,88.7,0
STU2024342,22,Male,6,6.92,64.3,0,104,0,5,0,78,66.1,0
STU2024343,18,Female,7,7.79,94.8,0,128,0,5,0,86,66.6,0
STU2024344,19,Female,8,6.71,60.1,0,156,0,8,0,44,79.7,0
STU2024345,20,Female,2,6.53,86.6,0,38,0,2,0,72,89.2,0
STU2024346,18,Male,4,7.72,60.0,0,61,0,7,0,27,95.5,0
STU2024347,18,Female,4,6.47,72.7,0,70,0,6,0,35,92.1,1
STU2024348,23,Male,1,9.35,83.1,0,5,0,9,0,46,69.7,0
STU2024349,19,Female,5,9.78,67.6,0,89,0,9,0,44,62.7,0
STU2024350,22,Female,4,7.43,55.1,1,74,0,8,0,51,89.8,0
STU2024351,21,Male,1,5.84,50.1,0,13,1,1,0,48,40.4,1
STU2024352,24,Female,2,5.57,64.2,0,26,0,4,0,53,72.8,0
